"Rank","Root Domain","Linking Root Domains","Domain Authority"
"180","instagram.com","21,408,079","93"
"181","www.weebly.com","334,965","93"
"182","yadi.sk","173,660","93"
"183","theglobeandmail.com","215,324","93"
"184","berkeley.edu","385,897","93"
"185","www.over-blog.com","774,677","93"
"186","e-recht24.de","433,732","93"
"187","metro.co.uk","172,106","93"
"188","ru.wikipedia.org","349,503","93"
"189","mysql.com","383,404","93"
"190","enable-javascript.com","1,530,194","93"
"191","researchgate.net","320,274","93"
"192","nikkei.com","188,976","93"
"193","lemonde.fr","220,710","93"
"194","elmundo.es","189,810","93"
"195","smh.com.au","258,498","93"
"196","over-blog-kiwi.com","178,420","93"
"197","allaboutcookies.org","333,713","93"
"198","finance.yahoo.com","367,423","93"
"199","rapidshare.com","278,572","93"
"200","cambridge.org","220,923","93"
"201","imageshack.us","778,777","93"
"202","ea.com","153,311","93"
"203","ikea.com","259,419","93"
"204","engadget.com","393,573","93"
"205","sciencedirect.com","420,009","93"
"206","rtve.es","141,354","93"
"207","t.co","1,675,367","93"
"208","mit.edu","559,319","93"
"209","spiegel.de","260,759","93"
"210","google.com.tw","133,160","93"
"211","nationalgeographic.com","524,356","93"
"212","shopify.com","1,321,954","93"
"213","photobucket.com","1,569,329","93"
"214","google.co.id","143,569","93"
"215","naver.com","435,746","93"
"216","list-manage.com","654,641","93"
"217","doubleclick.net","643,373","93"
"218","ted.com","473,543","93"
"219","espn.com","302,177","93"
"220","washington.edu","302,212","93"
"221","brandbucket.com","348,832","93"
"222","goodreads.com","671,029","93"
"223","worldbank.org","199,730","93"
"224","playstation.com","179,495","93"
"225","theatlantic.com","418,273","93"
"226","mashable.com","339,138","93"
"227","adssettings.google.com","287,398","93"
"228","target.com","223,561","93"
"229","cnil.fr","164,006","93"
"230","asus.com","136,253","93"
"231","rt.com","227,075","93"
"232","sputniknews.com","134,719","93"
"233","sciencedaily.com","284,250","93"
"234","sfgate.com","313,348","93"
"235","nature.com","435,625","93"
"236","thetimes.co.uk","294,289","93"
"237","gmail.com","178,737","93"
"238","cnbc.com","391,289","93"
"239","sedo.com","2,683,302","93"
"240","ziddu.com","166,373","93"
"241","ovh.com","436,769","93"
"242","ox.ac.uk","216,039","93"
"243","icann.org","450,889","93"
"244","000webhost.com","266,891","93"
"245","dell.com","205,149","93"
"246","ovh.co.uk","494,240","93"
"247","vox.com","382,511","93"
"248","xbox.com","142,995","93"
"249","groups.google.com","296,924","93"
"250","godaddy.com","2,390,699","93"
"251","nokia.com","154,930","93"
"252","huffpost.com","409,374","93"
"253","spotify.com","1,125,324","93"
"254","nbcnews.com","538,613","93"
"255","cbc.ca","342,995","93"
"256","bp0.blogger.com","520,936","93"
"257","vice.com","301,470","93"
"258","sapo.pt","203,691","93"
"259","blackberry.com","132,605","93"
"260","nginx.com","479,666","93"
"261","greenpeace.org","153,723","93"
"262","sendspace.com","149,103","93"
"263","interia.pl","150,494","93"
"264","instructables.com","271,654","93"
"265","google.co.in","242,169","93"
"266","wa.me","520,245","93"
"267","bp2.blogger.com","521,134","93"
"268","wiley.com","431,704","93"
"269","soundcloud.com","1,555,708","93"
"270","noaa.gov","278,775","93"
"271","mozilla.com","194,620","93"
"272","newyorker.com","314,420","93"
"273","sciencemag.org","259,618","93"
"274","rottentomatoes.com","192,879","93"
"275","nypost.com","279,544","93"
"276","weibo.com","1,460,452","93"
"277","pbs.org","416,322","93"
"278","netvibes.com","1,157,808","93"
"279","economist.com","298,797","93"
"280","gizmodo.com","341,308","93"
"281","quora.com","303,597","93"
"282","surveymonkey.com","381,943","93"
"283","ovh.net","638,938","93"
"284","nydailynews.com","296,684","93"
"285","newsweek.com","241,652","93"
"286","bitly.com","357,801","93"
"287","code.google.com","313,490","93"
"288","addtoany.com","717,173","93"
"289","academia.edu","283,185","93"
"290","dw.com","219,404","93"
"291","ibm.com","430,633","93"
"292","yandex.ru","923,247","93"
